iter	Logloss
0	0.6870723367
1	0.6816934835
2	0.6755896741
3	0.6702842319
4	0.6653794957
5	0.6605027707
6	0.6552528169
7	0.6515877686
8	0.6472280705
9	0.6422293984
10	0.6381305385
11	0.6334671038
12	0.6289962439
13	0.6246184604
14	0.6202970194
15	0.6168349765
16	0.6132354453
17	0.6096984111
18	0.6062905789
19	0.6028190466
20	0.599008602
21	0.5953510344
22	0.5917345295
23	0.5880115348
24	0.5845970669
25	0.5811215879
26	0.5774654384
27	0.574449053
28	0.5707062295
29	0.5677866169
30	0.5648512143
31	0.5623174486
32	0.560851692
33	0.5580458278
34	0.5543896641
35	0.551397201
36	0.5484772571
37	0.5451506315
38	0.5418936585
39	0.5389325843
40	0.536476723
41	0.5343161174
42	0.531424457
43	0.5283014615
44	0.525620521
45	0.523109321
46	0.5210013933
47	0.5190798438
48	0.5169308616
49	0.5146270473
50	0.5129514334
51	0.5106566009
52	0.5081745884
53	0.5055459861
54	0.5037433333
55	0.502207424
56	0.5002005382
57	0.4978588517
58	0.4960268734
59	0.4941216924
60	0.4921064909
61	0.4898913705
62	0.4880470376
63	0.486208927
64	0.4845560432
65	0.4832354245
66	0.4816137818
67	0.4798316632
68	0.4782578544
69	0.4762945995
70	0.4746426587
71	0.4732952903
72	0.4717626554
73	0.4700020881
74	0.468268867
75	0.4670174397
76	0.4652682401
77	0.464695068
78	0.4635320978
79	0.4624574515
80	0.4608650728
81	0.4598171698
82	0.4585955716
83	0.4572629105
84	0.4556582562
85	0.4544761369
86	0.4529348159
87	0.4516285895
88	0.4505047426
89	0.4492854542
90	0.4485435841
91	0.447480487
92	0.4465317352
93	0.4452283888
94	0.4439509203
95	0.4428801036
96	0.4420648376
97	0.4410064291
98	0.439678224
99	0.4387636107
100	0.4373911227
101	0.4361672389
102	0.4350778936
103	0.4344639666
104	0.4335733972
105	0.4325467323
106	0.4314299747
107	0.4308102367
108	0.4298978841
109	0.4286805525
110	0.428119946
111	0.4271174783
112	0.4259917361
113	0.4252314487
114	0.4242014544
115	0.4234346577
116	0.4224840149
117	0.421794472
118	0.4216152957
119	0.4210215019
120	0.4202201732
121	0.4193069945
122	0.4182802129
123	0.4177313586
124	0.4171831787
125	0.4166476338
126	0.4159468844
127	0.4151401761
128	0.4141225105
129	0.4133476551
130	0.4127088512
131	0.4117364035
132	0.4111671597
133	0.4102629851
134	0.4096029601
135	0.4086319869
136	0.408307604
137	0.4076132709
138	0.4070071715
139	0.4065064173
140	0.4057957319
141	0.4048067353
142	0.404344107
143	0.4040061754
144	0.4033942322
145	0.4027414607
146	0.4022260657
147	0.4017634186
148	0.4009139388
149	0.4004776092
150	0.399843338
151	0.3992538115
152	0.3990752516
153	0.3982847282
154	0.3977717997
155	0.3973169918
156	0.3967105327
157	0.3964768883
158	0.3958623014
159	0.3955022814
160	0.3950325956
161	0.3942355253
162	0.393719007
163	0.3934238652
164	0.39305406
165	0.3925915311
166	0.3920946267
167	0.3916816268
168	0.3910441662
169	0.3902737166
170	0.3898069303
171	0.3892115854
172	0.3888322002
173	0.3887755467
174	0.3883256054
175	0.3878992861
176	0.3874074896
177	0.387140793
178	0.3867725186
179	0.386212767
180	0.3858183383
181	0.3850616945
182	0.3845534849
183	0.3842001544
184	0.3840897758
185	0.3834879989
186	0.3831196565
187	0.3830740803
188	0.3827902716
189	0.3823325135
190	0.3819130002
191	0.3814476951
192	0.3812805986
193	0.3810422585
194	0.3807934444
195	0.3806950754
196	0.3805392
197	0.3800375803
198	0.3795803231
199	0.379485139
200	0.3790724336
201	0.378756271
202	0.3784792161
203	0.3780809876
204	0.3778127412
205	0.3773499917
206	0.3769149172
207	0.3768894025
208	0.3763770875
209	0.3759664908
210	0.3755586652
211	0.375093106
212	0.3750605621
213	0.374803497
214	0.374471491
215	0.3742022513
216	0.3736960458
217	0.3731840643
218	0.372804968
219	0.3723995371
220	0.3721522898
221	0.3717791278
222	0.3715946723
223	0.3713776538
224	0.3709274268
225	0.3704807703
226	0.3701067747
227	0.3697687081
228	0.3693739775
229	0.3691364202
230	0.3690786725
231	0.3687382731
232	0.3684438945
233	0.368232492
234	0.3678843198
235	0.3677096082
236	0.3674794038
237	0.3672961922
238	0.367027554
239	0.3667972521
240	0.3665703063
241	0.3663213836
242	0.3660648426
243	0.3658976662
244	0.3658344096
245	0.3655466506
246	0.3652508916
247	0.3650447955
248	0.3647122745
249	0.364526487
250	0.3642227956
251	0.3638722979
252	0.3635857415
253	0.3634409043
254	0.3631869419
255	0.3631243452
256	0.3628732398
257	0.3628555907
258	0.3627916645
259	0.3626095047
260	0.36249523
261	0.3622802568
262	0.3620979513
263	0.361931907
264	0.3617475735
265	0.3615349482
266	0.3612996652
267	0.3612398721
268	0.3610147436
269	0.3609063594
270	0.3608925875
271	0.3605913888
272	0.3604293511
273	0.3601221778
274	0.3598786306
275	0.3597255794
276	0.3594127283
277	0.3592063999
278	0.3588703317
279	0.3588115945
280	0.3586511334
281	0.3582321908
282	0.3578958469
283	0.3578199565
284	0.3576001344
285	0.3573718145
286	0.3571633719
287	0.3570291871
288	0.3566944575
289	0.3565393008
290	0.3562569713
291	0.3559712792
292	0.3557873666
293	0.3556183377
294	0.3554242133
295	0.3550499998
296	0.3549223733
297	0.3545761305
298	0.3543963414
299	0.354359351
300	0.3540889146
301	0.3538396229
302	0.353616954
303	0.3533510616
304	0.3531950911
305	0.3529960296
306	0.3527135996
307	0.3523088533
308	0.3520629236
309	0.351897013
310	0.3516563837
311	0.3513389716
312	0.3512500203
313	0.3509902036
314	0.3507119966
315	0.3504715969
316	0.3503301032
317	0.3500552236
318	0.3498191267
319	0.3497782916
320	0.3494407333
321	0.3492339503
322	0.3489250681
323	0.3486234232
324	0.3484608735
325	0.3481840039
326	0.3479612891
327	0.3477898196
328	0.3476655995
329	0.3473441458
330	0.3471802766
331	0.3469465477
332	0.3466379735
333	0.346516037
334	0.3462443825
335	0.3460599051
336	0.3458033616
337	0.3456084352
338	0.3455430109
339	0.3454290797
340	0.3451512058
341	0.345001234
342	0.344926393
343	0.3448076307
344	0.3446100873
345	0.34441341
346	0.3442430447
347	0.3440578911
