iter	MultiClass
0	1.033844023
1	0.9682689627
2	0.9212337581
3	0.8693138327
4	0.8197248595
5	0.7810030442
6	0.7410943791
7	0.7060071607
8	0.6721005838
9	0.6413249573
10	0.6123394149
11	0.5888937896
12	0.5608604998
13	0.5383529872
14	0.5142162629
15	0.493078784
16	0.4731219318
17	0.4572016458
18	0.4383068796
19	0.4218712978
20	0.4031552198
21	0.3884789834
22	0.3728398792
23	0.3597421588
24	0.3483857248
25	0.3366844169
26	0.3265018546
27	0.3161838082
28	0.3085765245
29	0.3002015771
30	0.2929362473
31	0.2840977747
32	0.2768456796
33	0.2691863198
34	0.2614568028
35	0.2535087798
36	0.248117271
37	0.2414766336
38	0.2352996217
39	0.2305584381
40	0.2244665837
41	0.2201266864
42	0.2157253583
43	0.2113988468
44	0.2070930207
45	0.2023723602
46	0.1993890545
47	0.1943915295
48	0.190128852
49	0.1861764447
50	0.1831902581
51	0.1804490059
52	0.1767823548
53	0.1728716478
54	0.169663251
55	0.1668079917
56	0.1640523439
57	0.1607043462
58	0.1584778535
59	0.1557909542
60	0.1536352235
61	0.1507318463
62	0.1477920717
63	0.1453471624
64	0.1423806422
65	0.140495296
66	0.1374054628
67	0.1342252094
68	0.132465516
69	0.131004471
70	0.1285682211
71	0.1269640228
72	0.1249349579
73	0.1234288146
74	0.1217994127
75	0.1204886524
76	0.1179401072
77	0.116793508
78	0.1155629361
79	0.1140970956
80	0.1123060821
81	0.110189187
82	0.1082251491
83	0.106304359
84	0.1041460921
85	0.1029118762
86	0.1019748931
87	0.1008471951
88	0.09924711611
89	0.09772027258
90	0.09641649277
91	0.09457342794
92	0.09343543123
93	0.09222486233
94	0.091356433
95	0.08989257341
96	0.08902029922
97	0.08768951389
98	0.08660946519
99	0.08576086048
100	0.08453074914
101	0.08313300306
102	0.08185295091
103	0.08084829655
104	0.0799582306
105	0.07895988916
106	0.07782279134
107	0.076938767
108	0.07577413928
109	0.07495766303
110	0.07414024498
111	0.07332242911
112	0.07262468066
113	0.07160501161
114	0.07076071428
115	0.06976137579
116	0.06908069212
117	0.06824868472
118	0.06744972224
119	0.06666126805
120	0.06604902715
121	0.06545152225
122	0.06469007446
123	0.06384060423
124	0.06323817593
125	0.06256480638
126	0.0619400057
127	0.06118361392
128	0.06051508698
129	0.06015785692
130	0.05964455783
131	0.05906036298
132	0.05863551744
133	0.0580829272
134	0.05767539098
135	0.0572102383
136	0.0566046073
137	0.05609670195
138	0.05565446871
139	0.05504878756
140	0.05448535207
141	0.05412603929
142	0.05364664246
143	0.05324882217
144	0.05269492147
145	0.05228934767
146	0.05173957291
147	0.05130659648
148	0.05089243338
149	0.05035988839
150	0.04986577222
151	0.04941579212
152	0.04903193672
153	0.04853441133
154	0.0480590753
155	0.04764825371
156	0.04727975879
157	0.04693188291
158	0.04645478131
159	0.04611025439
160	0.04572599119
161	0.04536961691
162	0.0449731864
163	0.04462657929
164	0.0442122583
165	0.04395118563
166	0.04364213154
167	0.04334806524
168	0.04307021315
169	0.04264342678
170	0.04232845856
171	0.04191637617
172	0.04150011877
173	0.04121649096
174	0.04089591872
175	0.04067482099
176	0.04033927955
177	0.04009976546
178	0.03972862332
179	0.03946112382
180	0.03915278557
181	0.03891044125
182	0.03862547852
183	0.038298645
184	0.03798277823
185	0.03767528816
186	0.03745156694
187	0.037210673
188	0.03705575559
189	0.03683926278
190	0.03661696401
191	0.03632425995
192	0.03610800636
193	0.03591351082
194	0.03573705625
195	0.03549591595
196	0.0353053775
197	0.03508675893
198	0.03489745385
199	0.03468260343
200	0.03447817775
201	0.03428471544
202	0.03400563155
203	0.03383496459
204	0.0336550398
205	0.03342700927
206	0.03319102859
207	0.03303540914
208	0.03282696604
209	0.03256308997
210	0.03241914513
211	0.03222068271
212	0.03205961048
213	0.03188363281
214	0.03168539042
215	0.03152294581
216	0.03135556482
217	0.03118367966
218	0.0309745663
219	0.03083773158
220	0.03071824322
221	0.03057874722
222	0.03037050677
223	0.0302434221
224	0.03013725773
225	0.02999688933
