iter	RMSE
274	1558501.503
275	1557730.067
276	1557079.588
277	1556709.441
278	1556346.044
279	1555849.465
280	1555423.509
281	1554627.876
282	1553971.451
283	1553244.334
284	1552517.297
285	1551591.64
286	1550496.774
287	1550030.176
288	1549633.579
289	1549128.191
290	1548132.323
291	1547425.467
292	1546714.91
293	1545891.138
294	1545360.287
295	1544873.503
296	1544199.831
297	1543121.348
298	1542334.207
299	1541440.419
300	1540490.701
301	1539965.425
302	1538865.233
303	1538449.226
304	1538027.789
305	1537380.946
306	1536741.874
307	1536201.534
308	1535151.052
309	1534318.137
310	1533642.479
311	1533064.073
312	1532481.029
313	1531968.734
314	1531155.719
315	1530537.002
316	1530018.521
317	1529066.512
318	1528243.331
319	1527677.743
320	1527115.377
321	1526472.755
322	1525660.267
323	1525064.365
324	1524617.533
325	1524171.098
326	1523164.657
327	1522714.926
328	1522338.519
329	1521770.43
330	1521394.208
331	1520865.337
332	1520341.746
333	1519650.255
334	1518958.299
335	1518093.398
336	1517757.325
337	1516584.759
338	1515707.674
339	1515359.898
340	1514701.258
341	1514104.49
342	1513534.657
343	1512920.323
344	1512413.925
345	1511671.858
346	1510801.699
347	1510228.084
348	1509562.423
349	1508820.947
350	1508143.64
351	1507577.275
352	1507039.635
353	1506318.5
354	1505816.311
355	1505276.464
356	1504820.298
357	1504640.722
358	1504167.96
359	1503509.533
360	1503059.586
361	1502464.003
362	1501564.041
363	1500540.694
364	1500083.668
365	1499684.874
366	1498551.77
367	1497692.257
368	1497361.783
369	1496741.325
370	1496333.185
371	1495516.476
372	1494986.141
373	1494044.749
374	1493260.978
375	1492611.496
376	1491923.039
377	1491495.419
378	1490722.332
379	1490172.847
380	1489776.544
381	1489277.918
382	1488598.173
383	1488270.384
384	1487960.178
385	1487086.312
386	1486017.737
387	1485375.608
388	1484898.623
389	1483989.496
390	1483285.859
391	1482585.572
392	1481881.302
393	1480986.342
394	1480624.459
395	1480161.275
396	1479508.665
397	1479085.502
398	1478718.371
399	1477993.368
400	1477241.029
401	1476715.045
402	1476022.862
403	1475393.973
404	1475043.311
405	1474662.741
406	1473862.326
407	1473546.201
408	1473145.325
409	1472479.994
410	1471923.193
411	1471490.563
412	1470374.591
413	1469020.933
414	1468648.49
415	1468021.915
416	1467534.945
417	1466650.34
418	1466031.387
419	1465307.115
420	1464613.269
421	1464052.35
422	1463291.889
423	1462847.488
424	1462007.912
425	1461621.609
426	1460823.043
427	1460338.217
428	1459491.261
429	1459024.07
430	1458527.441
431	1457981.396
432	1457435.687
433	1456778
434	1456136.837
435	1455270.269
436	1454573.775
437	1454116.558
438	1453767.077
439	1453090.125
440	1452779.646
441	1452024.793
442	1451421.308
443	1451007.031
444	1450182.184
445	1449818.959
446	1449476.493
447	1449089.774
448	1448646.633
449	1447955.279
450	1447659.675
451	1447398.619
452	1446859.527
453	1446063.032
454	1445672.977
455	1444626.97
456	1443821.3
457	1443070.886
458	1442507.722
459	1441917.43
460	1441718.41
461	1440953.499
462	1440461.907
463	1439629.754
464	1439090.349
465	1438893.691
466	1438155.317
467	1437447.154
468	1436586.49
469	1436019.034
470	1435269.408
471	1434623.721
472	1434282.974
473	1434042.734
474	1433663.404
475	1433355.569
476	1433085.175
477	1432581.976
478	1432091.121
479	1431550.35
480	1431074.065
481	1430719.53
482	1430436.194
483	1429450.236
484	1428903.807
485	1428355.743
486	1427787.897
487	1427147.111
488	1426775.052
489	1426411.073
490	1425669.392
491	1425185.763
492	1424562.041
493	1424190.241
494	1423852.564
495	1423482.21
496	1422863.64
497	1422257.242
498	1421909.827
499	1421404.355
500	1420749.082
501	1420123.445
502	1419868.268
503	1419195.223
504	1418792.555
505	1418512.046
506	1418242.476
507	1417612.166
508	1417070.639
509	1416918.57
510	1416546.867
511	1416237.415
512	1415654.682
513	1415009.018
514	1414005.771
515	1413158.516
516	1412564.876
517	1412380.671
518	1412002.627
519	1411722.32
520	1411057.233
521	1410596.988
522	1410166.906
523	1409771.172
524	1408927.052
525	1408763.775
526	1408049.343
527	1407291.903
528	1406885.578
529	1406770.86
530	1406311.359
531	1405421.974
532	1404983.415
533	1404371.316
534	1403919.779
535	1403205.484
536	1402569.28
537	1401937.018
538	1401285.172
539	1400705.83
540	1399963.737
541	1399545.311
542	1399153.094
543	1398498.659
544	1398407.819
545	1398131.85
546	1397319.44
547	1396592.47
548	1396048.96
549	1395372.939
550	1395080.009
551	1394757.92
552	1394429.385
553	1394075.023
554	1393647.527
555	1393101.002
556	1392649.632
557	1392003.014
558	1391739.2
559	1391374.086
560	1390758.413
561	1390168.586
562	1389403.318
563	1389090.5
564	1388672.963
565	1388460.856
566	1388169.108
567	1387490.83
568	1386705.301
569	1386609.434
570	1386297.418
571	1385656.944
572	1385407.078
573	1385123.356
574	1384793.221
575	1384436.135
576	1383752.081
577	1383545.96
578	1383018.367
579	1382067.839
580	1381174.775
581	1380700.88
582	1380067.815
583	1379682.046
584	1378946.163
585	1378671.968
586	1377931.694
587	1377287.026
588	1376676.549
589	1376267.543
590	1375760.549
591	1375276.69
592	1374366.448
593	1373957.341
594	1373800.085
595	1373118.442
596	1372482.159
597	1372218.741
598	1371562.046
599	1370999.8
600	1370280.622
601	1369754.751
602	1369660.697
603	1369075.81
604	1368664.696
605	1367942.495
606	1367232.646
607	1366865.275
608	1366156.071
609	1365629.631
610	1365124.172
611	1364534.436
612	1364172.585
613	1363902.318
614	1363342.544
615	1362692.612
616	1362160.18
617	1361826.151
618	1361299.363
619	1360645.016
620	1359854.63
621	1359384.347
622	1358875.557
623	1358364.951
624	1357895.589
625	1357102.333
626	1356599.243
627	1356067.783
628	1355389.557
629	1354856.125
630	1354504.426
631	1353730.931
632	1353492.348
633	1352957.192
634	1352199.702
635	1351815.947
636	1351495.054
637	1351337.515
638	1350923.405
639	1350647.89
640	1350362.472
641	1349837.11
642	1349405.246
643	1349176.287
644	1348921.67
645	1348637.189
646	1348166.159
647	1347631.603
648	1347238.734
649	1346966.103
650	1346558.521
651	1346096.73
652	1345723.567
653	1345183.027
654	1344573.834
655	1343882.544
656	1343598.026
657	1343032.153
658	1342687.637
659	1342126.252
660	1341544.649
661	1341182.339
662	1340552.534
663	1340238.374
664	1339704.476
665	1339452.782
666	1338717.596
667	1338149.4
668	1337769.007
669	1337423.869
670	1336882.982
671	1336216.405
672	1335881.607
673	1335154.463
674	1334459.937
675	1334035.631
676	1333741.237
677	1333138.228
678	1332391.121
679	1331805.979
680	1331163.724
681	1330922.864
682	1330370.626
683	1329914.71
684	1329472.956
685	1328881.544
686	1328482.022
687	1327857.218
688	1327313.344
689	1327070.571
690	1326643.24
691	1326426.108
692	1325978.636
693	1325485.034
694	1325088.356
695	1324493.09
696	1324217.227
697	1323805.949
698	1323359.596
699	1322966.087
700	1322514.254
701	1322271.232
702	1321703.88
703	1321037.543
704	1320357.527
705	1319880.333
706	1319269.634
707	1318992.614
708	1318648.877
709	1318043.257
710	1317510.033
711	1317127.545
712	1316748.217
713	1316485.463
714	1316149.702
715	1315665.824
716	1315030.836
717	1314590.503
718	1314233.469
719	1313922.111
720	1313238.854
721	1312781.203
722	1312303.541
723	1311934.968
724	1311467.53
725	1311082.365
726	1310379.169
727	1310065.989
728	1309908.12
729	1309342.323
730	1308601.714
731	1308361.039
732	1307945.881
733	1307216.007
734	1306742.623
735	1306440.421
736	1306336.368
737	1305955.2
738	1305590.469
739	1305351.519
740	1305017.403
741	1304512.824
742	1304130.561
743	1303801.327
744	1303350.663
745	1302815.047
746	1302371.093
747	1301987.993
748	1301386.635
749	1300872.091
750	1300459.61
751	1300096.268
752	1299690.785
753	1299184.431
754	1298452.808
755	1298226.154
756	1297685.312
757	1297258.014
758	1296888.687
759	1296451.636
760	1295858.51
761	1295515.457
762	1295111.462
763	1294638.263
764	1294163.519
765	1293631.068
766	1293346.453
767	1293221.469
768	1292818.736
769	1292679.255
770	1292313.604
771	1291940.09
772	1291333.842
773	1291016.083
774	1290586.213
775	1290036.339
776	1289709.502
777	1289340.012
778	1289070.487
779	1288575.19
780	1287824.303
781	1287428.349
782	1286916.647
783	1286574.63
784	1286113.849
785	1285613.155
786	1285278.187
787	1285058.099
788	1284759.426
789	1284243.314
790	1283899.122
791	1283277.206
792	1282922.306
793	1282505.558
794	1281987.394
795	1281594.902
796	1281306.663
797	1280629.052
798	1280012.254
799	1279369.659
800	1278835.551
801	1278616.778
802	1278215.233
803	1277883.156
804	1277352.606
805	1276841.348
806	1276231.064
807	1275849.624
808	1275442.594
809	1275115.347
810	1274753.425
811	1274407.636
812	1273662.022
813	1273383.155
814	1272785.193
815	1272314.827
816	1271863.442
817	1271020.309
818	1270608.089
819	1270185.909
820	1269812.498
821	1269213.964
822	1268956.58
823	1268563.017
824	1268250.203
825	1267986.577
826	1267772.408
827	1267045.313
828	1266555.338
829	1266152.142
830	1265974.443
831	1265769.008
832	1265569.086
833	1265198.788
834	1264893.708
835	1264315.12
836	1263699.759
837	1263190.216
838	1262746.388
839	1262442.016
840	1261737.607
841	1261213.832
842	1260677.522
843	1260089.737
844	1259828.931
845	1259329.954
846	1258959.164
847	1258622.658
848	1258049.264
849	1257757.913
850	1257344.615
851	1257153.197
852	1256943.551
853	1256708.988
854	1256370.862
855	1255359.951
856	1255074.323
857	1254576.33
858	1254264.228
859	1253669.33
860	1252890.339
861	1252446.365
862	1252049.167
863	1251535.518
864	1251208.476
865	1250542.957
866	1249840.805
867	1249237.629
868	1248771.4
869	1248415.217
870	1248146.671
871	1247782.312
872	1247377.674
873	1246817.923
874	1246489.929
875	1246023.999
876	1245504.234
877	1245169.137
878	1244604.853
879	1243972.308
880	1243558.349
881	1243346.075
882	1242780.535
883	1242520.647
884	1242124.993
885	1241905.471
886	1241491.994
887	1241196.332
888	1240747.097
889	1240311.804
890	1239593.399
891	1239340.91
892	1238948.784
893	1238650.332
894	1238158.848
895	1237674.503
896	1237288.145
897	1236627.067
898	1236122.086
899	1235630.957
900	1235353.748
901	1235207.133
902	1234934.404
903	1234510.17
904	1234091.403
905	1233946.164
906	1233735.81
907	1233202.966
908	1232743.723
909	1232137.668
910	1231819.359
911	1231353.016
912	1231035.187
913	1230570.967
914	1230170.529
915	1229806.409
916	1229420.523
917	1229089.339
918	1228765.532
919	1228553.751
920	1228296.459
921	1227892.984
922	1227456.971
923	1227230.381
924	1226774.52
925	1226262.06
926	1225877.172
927	1225674.26
928	1225128.933
929	1224666.913
930	1224143.735
931	1223499.78
932	1223095.987
933	1222809.964
934	1222526.917
935	1222064.661
936	1221931.907
937	1221516.457
938	1221197.607
939	1220802.618
940	1220295.591
941	1219741.424
942	1219403.555
943	1219039.105
944	1218731.128
945	1218068.055
946	1217800.414
947	1217611.576
948	1217408.105
949	1216997.692
950	1216735.614
951	1216057.041
952	1215798.532
953	1215331.255
954	1215155.207
955	1214716.029
956	1214019.058
957	1213470.871
958	1213050.815
959	1212480.637
960	1212252.291
961	1211688.879
962	1211532.769
963	1211171.383
964	1210875.412
965	1210550.554
966	1210047.343
967	1209586.919
968	1209081.106
969	1208816.596
970	1208434.598
971	1208068.766
972	1207478.81
973	1206988.275
974	1206681.652
975	1206204.703
976	1205792.112
977	1205350.786
978	1204865.73
979	1204510.907
980	1204120.273
981	1203677.532
982	1203295.736
983	1202783.046
984	1202280.897
985	1201751.441
986	1201528.04
987	1201258.127
988	1200969.601
989	1200771.943
990	1200076.53
991	1199881.339
992	1199606.114
993	1199214.448
994	1198819.486
995	1198454.453
996	1198237.47
997	1197771.306
998	1197393.799
999	1196786.72
.577
999	1194069.526
65
