iter	Passed	Remaining
438	1320	1688
439	1325	1687
440	1328	1684
441	1332	1682
442	1336	1679
443	1340	1679
444	1345	1677
445	1347	1674
446	1349	1669
447	1351	1665
448	1354	1662
449	1358	1660
450	1362	1658
451	1364	1654
452	1366	1650
453	1369	1647
454	1372	1643
455	1375	1640
456	1377	1636
457	1381	1634
458	1383	1630
459	1386	1627
460	1388	1623
461	1392	1621
462	1395	1618
463	1398	1614
464	1400	1611
465	1403	1608
466	1406	1605
467	1409	1602
468	1412	1599
469	1414	1595
470	1417	1591
471	1420	1588
472	1422	1585
473	1425	1581
474	1427	1578
475	1430	1574
476	1431	1569
477	1434	1566
478	1437	1563
479	1440	1560
480	1443	1557
481	1445	1553
482	1447	1548
483	1450	1546
484	1454	1544
485	1457	1541
486	1459	1537
487	1462	1534
488	1464	1530
489	1467	1527
490	1471	1525
491	1474	1522
492	1476	1518
493	1479	1514
494	1481	1510
495	1483	1506
496	1486	1504
497	1489	1501
498	1494	1500
499	1496	1496
500	1499	1493
501	1503	1491
502	1508	1490
503	1511	1487
504	1513	1483
505	1517	1481
506	1519	1477
507	1522	1474
508	1524	1471
509	1527	1467
510	1529	1463
511	1533	1461
512	1536	1458
513	1538	1455
514	1540	1451
515	1543	1447
516	1546	1444
517	1562	1453
518	1564	1450
519	1567	1446
520	1569	1442
521	1572	1440
522	1574	1436
523	1576	1432
524	1580	1430
525	1583	1426
526	1585	1422
527	1587	1419
528	1590	1415
529	1593	1412
530	1595	1409
531	1598	1406
532	1601	1402
533	1602	1398
534	1605	1395
535	1608	1392
536	1611	1389
537	1613	1385
538	1615	1381
539	1617	1377
540	1620	1374
541	1622	1370
542	1624	1366
543	1626	1363
544	1629	1360
545	1631	1356
546	1633	1353
547	1635	1349
548	1638	1346
549	1640	1342
550	1642	1338
551	1644	1334
552	1647	1331
553	1649	1328
554	1652	1324
555	1654	1321
556	1657	1317
557	1659	1314
558	1660	1310
559	1662	1306
560	1664	1302
561	1667	1299
562	1669	1296
563	1671	1292
564	1673	1288
565	1676	1285
566	1678	1281
567	1680	1278
568	1683	1274
569	1685	1271
570	1688	1268
571	1690	1264
572	1691	1260
573	1693	1256
574	1696	1253
575	1698	1250
576	1700	1246
577	1702	1242
578	1705	1240
579	1708	1237
580	1710	1233
581	1714	1231
582	1717	1228
583	1720	1225
584	1723	1222
585	1725	1219
586	1727	1215
587	1729	1212
588	1732	1209
589	1735	1205
590	1739	1203
591	1741	1200
592	1744	1197
593	1747	1194
594	1750	1191
595	1754	1189
596	1756	1185
597	1759	1182
598	1762	1179
599	1764	1176
600	1767	1173
601	1770	1170
602	1772	1167
603	1775	1163
604	1777	1160
605	1779	1157
606	1782	1154
607	1786	1151
608	1788	1148
609	1792	1145
610	1794	1142
611	1796	1139
612	1799	1135
613	1802	1133
614	1806	1130
615	1809	1127
616	1812	1125
617	1816	1122
618	1819	1119
619	1821	1116
620	1824	1113
621	1827	1110
622	1830	1107
623	1833	1104
624	1836	1101
625	1839	1099
626	1842	1095
627	1845	1092
628	1848	1090
629	1851	1087
630	1854	1084
631	1858	1082
632	1861	1079
633	1865	1076
634	1868	1073
635	1870	1070
636	1872	1066
637	1874	1063
638	1875	1059
639	1880	1057
640	1882	1054
641	1886	1051
642	1890	1049
643	1892	1046
644	1895	1043
645	1897	1039
646	1901	1037
647	1904	1034
648	1908	1032
649	1912	1029
650	1915	1026
651	1917	1023
652	1920	1020
653	1922	1017
654	1926	1014
655	1928	1011
656	1931	1008
657	1934	1005
658	1937	1002
659	1940	999
660	1942	996
661	1944	992
662	1946	989
663	1949	986
664	1954	984
665	1957	981
666	1959	978
667	1961	975
668	1964	971
669	1966	968
670	1968	965
671	1970	961
672	1974	959
673	1977	956
674	1981	954
675	1984	951
676	1986	947
677	1989	944
678	1991	941
679	1993	938
680	1996	935
681	2000	932
682	2003	929
683	2006	926
684	2008	923
685	2010	920
686	2011	916
687	2013	913
688	2016	910
689	2019	907
690	2022	904
691	2026	902
692	2030	899
693	2034	896
694	2036	893
695	2038	890
696	2040	887
697	2043	884
698	2046	881
699	2048	877
700	2050	874
701	2052	871
702	2056	868
703	2058	865
704	2060	862
705	2063	859
706	2065	856
707	2068	853
708	2070	849
709	2073	847
710	2076	844
711	2078	840
712	2080	837
713	2083	834
714	2086	831
715	2088	828
716	2091	825
717	2094	822
718	2098	819
719	2100	816
720	2102	813
721	2105	810
722	2107	807
723	2108	803
724	2111	800
725	2113	797
726	2116	794
727	2119	791
728	2121	788
729	2123	785
730	2125	782
731	2128	779
732	2132	776
733	2135	773
734	2137	770
735	2140	767
736	2142	764
737	2144	761
738	2146	758
739	2149	755
740	2152	752
741	2154	749
742	2157	746
743	2159	743
744	2161	739
745	2164	737
746	2167	734
747	2169	730
748	2171	727
749	2173	724
750	2175	721
751	2178	718
752	2181	715
753	2183	712
754	2186	709
755	2189	706
756	2192	703
757	2195	701
758	2197	697
759	2199	694
760	2201	691
761	2203	688
762	2206	685
763	2209	682
764	2213	679
765	2215	676
766	2217	673
767	2219	670
768	2220	667
769	2223	664
770	2227	661
771	2230	658
772	2232	655
773	2234	652
774	2236	649
775	2239	646
776	2242	643
777	2245	640
778	2247	637
779	2250	634
780	2252	631
781	2254	628
782	2257	625
783	2260	622
784	2262	619
785	2265	616
786	2267	613
787	2269	610
788	2272	607
789	2275	604
790	2277	601
791	2280	598
792	2282	595
793	2285	592
794	2287	589
795	2291	587
796	2293	584
797	2296	581
798	2298	578
799	2301	575
800	2303	572
801	2307	569
802	2309	566
803	2311	563
804	2313	560
805	2316	557
806	2319	554
807	2323	552
808	2325	548
809	2327	545
810	2330	543
811	2332	540
812	2334	536
813	2337	534
814	2340	531
815	2342	528
816	2344	525
817	2347	522
818	2349	519
819	2352	516
820	2354	513
821	2358	510
822	2360	507
823	2363	504
824	2366	501
825	2368	498
826	2370	495
827	2372	492
828	2375	489
829	2377	486
830	2379	484
831	2381	480
832	2384	478
833	2386	475
834	2388	472
835	2390	468
836	2393	466
837	2396	463
838	2398	460
839	2401	457
840	2404	454
841	2406	451
842	2408	448
843	2410	445
844	2412	442
845	2415	439
846	2418	436
847	2421	434
848	2424	431
849	2427	428
850	2429	425
851	2432	422
852	2434	419
853	2436	416
854	2438	413
855	2441	410
856	2444	407
857	2446	404
858	2448	401
859	2451	399
860	2454	396
861	2456	393
862	2458	390
863	2460	387
864	2463	384
865	2465	381
866	2467	378
867	2469	375
868	2472	372
869	2474	369
870	2476	366
871	2479	363
872	2481	361
873	2483	358
874	2485	355
875	2488	352
876	2490	349
877	2492	346
878	2495	343
879	2497	340
880	2499	337
881	2502	334
882	2504	331
883	2506	328
884	2510	326
885	2512	323
886	2514	320
887	2517	317
888	2519	314
889	2522	311
890	2525	308
891	2528	306
892	2530	303
893	2532	300
894	2534	297
895	2538	294
896	2540	291
897	2543	288
898	2547	286
899	2549	283
900	2551	280
901	2553	277
902	2556	274
903	2559	271
904	2562	268
905	2564	266
906	2568	263
907	2570	260
908	2574	257
909	2576	254
910	2579	251
911	2582	249
912	2585	246
913	2588	243
914	2591	240
915	2593	237
916	2595	234
917	2598	232
918	2600	229
919	2603	226
920	2605	223
921	2607	220
922	2609	217
923	2611	214
924	2614	211
925	2616	209
926	2618	206
927	2621	203
928	2623	200
929	2625	197
930	2627	194
931	2629	191
932	2632	189
933	2634	186
934	2637	183
935	2640	180
936	2642	177
937	2644	174
938	2646	171
939	2648	169
940	2652	166
941	2654	163
942	2656	160
943	2660	157
944	2662	154
945	2664	152
946	2667	149
947	2670	146
948	2673	143
949	2675	140
950	2678	137
951	2681	135
952	2683	132
953	2686	129
954	2689	126
955	2691	123
956	2693	121
957	2695	118
958	2698	115
959	2702	112
960	2704	109
961	2707	106
962	2709	104
963	2712	101
964	2715	98
965	2718	95
966	2720	92
967	2723	90
968	2725	87
969	2728	84
970	2730	81
971	2733	78
972	2736	75
973	2738	73
974	2740	70
975	2742	67
976	2744	64
977	2747	61
978	2750	59
979	2753	56
980	2755	53
981	2757	50
982	2759	47
983	2762	44
984	2765	42
985	2767	39
986	2769	36
987	2772	33
988	2775	30
989	2778	28
990	2782	25
991	2785	22
992	2787	19
993	2789	16
994	2793	14
995	2796	11
996	2798	8
997	2801	5
998	2803	2
999	2805	0
916	14
995	2919	11
996	2922	8
997	2924	5
998	2926	2
999	2929	0
	7941	262
968	7944	254
969	7949	245
970	7953	237
971	7956	229
972	7958	220
973	7960	212
974	7963	204
975	7965	195
976	7969	187
977	7972	179
978	7975	171
979	7977	162
980	7979	154
981	7982	146
982	7984	138
983	7986	129
984	7990	121
985	7993	113
986	7997	105
987	8001	97
988	8004	89
989	8006	80
990	8008	72
991	8011	64
992	8016	56
993	8020	48
994	8023	40
995	8025	32
996	8028	24
997	8032	16
998	8035	8
999	8038	0
